id,name,review_count,rating,station_id,Station ID,latitude,longitude,Station Name,Data Collection Timestamp,Empty Slots,Available Bikes,Total Slots,Status,Proportion of Bikes Available (%)
NensKn1MSVU_rm-1Y6WlFA,Marulilu Cafe,281.0,4.0,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
oHYOa9l5aLOQpJ8dF6sDmA,Menya Raizo,68.0,4.0,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
3sTVFA9wQQT_7RTUj_g1rw,Donair Spot,42.0,4.0,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
1AA4EjIIXywxOSnbyZ9vLA,Pho Extreme Xe Lua,101.0,2.5,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
31ag-M_QiaycGQrvAi169w,Jollibee,6.0,4.5,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
5nGTOnj9Fwb2hZUP3JQPVg,Pizzamia Gourmet Pizza Bar,5.0,4.5,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
RVqYrtjaMZFdNUjfM8plVA,Starbucks,3.0,4.5,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
SjoGSiEVXN6u9SHFZ7CWRw,A&W,16.0,2.0,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
yNGbRPKzTMGheRpqA2noNg,Walking Figures,2.0,3.0,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
O8I2UEhzIiTF_lFbIHvJ-Q,Aisha Tandoori,4.0,2.5,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
f7jEEU1I96mqji4B65pLBA,Subway,1.0,1.0,7a19c49f486d7c0c02b3685d7b240448,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397,0001 10th & Cambie,2022-11-12T18:26:37.834000Z,12,23,35,online,66.0
NdEPf2Ls5Ql3_nkwjqKvXA,The Flying Pig,1229.0,4.0,32603a87cfca71d0f7dfa3513bad69d5,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817,0004 Yaletown-Roundhouse Station,2022-11-12T18:26:37.848000Z,14,2,16,online,12.0
