id,name,review_count,rating,transactions,station_id
nV-MkqGnkH1fyxuVCs5Jpw,JOEY Burrard,519,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
2vXKCM4qvVhCiYuCjOSMEw,Bacchus Restaurant & Lounge,173,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
HrmXBx51bAXftEMAJy0iew,Hubbub,225,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
AF3GkHlS48ra00-LCi_ojA,Caffè Artigiano,168,3.5,[],0b543fc4e694fe07a54dac48bb1b3390
_foBmwAL0w5qIEaUwWcmtQ,Faubourg,159,3.5,[],0b543fc4e694fe07a54dac48bb1b3390
AcEBuSwoXHdtobr-LiRRQg,Bellagio Cafe,215,3.0,[],0b543fc4e694fe07a54dac48bb1b3390
gdUW6MpgUUzbQnhPA_9qdA,TacoFino,155,3.5,[],0b543fc4e694fe07a54dac48bb1b3390
Ssow1Z1RC9VT3u6qSmW-eA,Roaming Dragon,72,3.5,[],0b543fc4e694fe07a54dac48bb1b3390
n7cBSlfu_utOVK3QZCCWrQ,1931 Gallery Bistro,44,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
HUrvINmrype_IcCX8N_AnA,Basil Box,21,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
TWVg8wyzqqLwVUXRsku1lA,Mr. Shawarama,12,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
d7DGGcjeSAm2eAyctiKpyQ,Cartel Taco,12,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
0NMmNxqEMOZ-e0ESwzNnWw,Mumgry,3,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
vp301h_QIwZpZc9vVpgyKA,Geek Sweets,3,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
KU8lV6lf-PQiuMtj41DelA,Green Coast Coffee,3,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
nB2N7EwLi3CLsQBWAkYUMQ,Hot Dog Stand,3,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
KQzB63AKTgkefcZxQpNOTw,Big Dogs,2,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
a3RG4bP4Wun-NgrH1uZZhw,The Juice Caboose,3,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
e5NQnrKrFmU_OivObaC7UQ,Yellow Basket Baking,2,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
o63UdqhhzA17XtyC-X4O8w,Spring by Alan Chung Hung,1,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
kMh5p2iQ-6Z6RbmrBivraA,Crossroads Cafe,2,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
4ZIpwrNr51oi30D8R6072Q,Plates By Payts,2,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
c2_wO8jC9BSWnX5onAriOQ,Elbo Patties,2,4.5,[],0b543fc4e694fe07a54dac48bb1b3390
e7rKQdWlynQpm5NFukEdsQ,Lumbermen's Arch Cafe,4,3.5,[],0b543fc4e694fe07a54dac48bb1b3390
KUAsPjpy2pQcItMofwo2lw,It's All About Grill,3,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
sQ0fBSttmA3-LNxAaFwZTg,Sausage Cart,1,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
kMg9vBlpJ9e_wcU7e1yHZQ,More... Please,1,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
_-eV3VGH9_1dQ1acbHdtcA,Façade Festival,1,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
I0rBB5rK5Ow-qtsHUEmgeg,Arielles Sweet Tooth,1,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
r9P-Laza7Th9CnCDWvuaSA,The Sweet Alley,1,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
eOVTyiE-GMfG1NdG_-Z4Zg,Sweet Fairy Hut Catering,1,5.0,[],0b543fc4e694fe07a54dac48bb1b3390
YtUuz38Sqhg0kDM9WunRIw,Bah! Baked At Home,1,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
AUAF4JbMmeUzUxrdfxBZhQ,Sustainably Sweet,1,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
soc2BgJ5g2o5DtEKafyhgQ,Trudy Ann's Chai,1,4.0,[],0b543fc4e694fe07a54dac48bb1b3390
LHr4sVDp8tCnL_bkQxdUQw,Nabob Pop Up Cafe,1,3.0,[],0b543fc4e694fe07a54dac48bb1b3390
7I3zpAtJg9La5CsqjM8d3Q,BeaverTails Pastry & Poutine,1,3.0,[],0b543fc4e694fe07a54dac48bb1b3390
wDmBNugSnKZDDUeYm7dA1Q,Karla's Specialteas,1,3.0,[],0b543fc4e694fe07a54dac48bb1b3390
0fGh_lANUDc93j0zQydZMg,Vancity Bakeshop,1,3.0,[],0b543fc4e694fe07a54dac48bb1b3390
paSPh_JP5D_EC3uwMVPpwg,My Oh Mai Foods,1,3.0,[],0b543fc4e694fe07a54dac48bb1b3390
wWJuMUz3pWL9OVfGD30vaA,Pacific Lounge,1,2.0,[],0b543fc4e694fe07a54dac48bb1b3390
