,Station ID,latitude,longitude
0,7a19c49f486d7c0c02b3685d7b240448,49.262487,-123.114397
1,32603a87cfca71d0f7dfa3513bad69d5,49.274566,-123.121817
2,6d42fa40360f9a6b2bf641c7b8bb2862,49.279764,-123.110154
3,66f873d641d448bd1572ab086665a458,49.260599,-123.113504
4,485d4d24c803cfde829ab89699fed833,49.264215,-123.117772
5,b07d513f87897cff7319a0e59d7e567c,49.270877,-123.115103
6,d1c9556d92f329703229fb3e33899a3b,49.26893,-123.11813
7,95e624191c655f50e401d280cd39a9ad,49.271721,-123.104207
8,3e112f9fe877e0003780386359060ae6,49.287214,-123.11287
9,6993b3dbb0758927967592ea612a2b1e,49.282409,-123.118541
10,bf8408067b0e0c963f3ff526977bcef3,49.287097,-123.118551
11,d2244f1a81d317c76cabd65e81250835,49.273471,-123.118016
12,0b543fc4e694fe07a54dac48bb1b3390,49.282758,-123.122092
13,1b4c6f63f4bfbbd983992dbdca776865,49.286042,-123.113176
14,fbb1d30d7f30b049873f5be5688563d4,49.28602,-123.116624
15,7181df50ee1d1a05559399211382b7c8,49.279739,-123.116251
16,2ef000bc9d4650d8cc6198c4d570b19f,49.277483,-123.114279
17,b7683a86874e6300fd89f4cc0b075f57,49.275679,-123.116963
18,3367c1e1dbf73caf7c10e4c96a92f58d,49.282759,-123.106955
19,1d7e73b3321ebb6713774d376247d9f9,49.288444,-123.139203
20,664502c28e8147615f17b8ea355f40d0,49.289124,-123.12196
21,6c24a62b5ee0a2a8014eb0dfb6d40025,49.28062,-123.12482
22,fad9ebcf614dd1a72593a34072ff76f8,49.279938,-123.127478
23,3a4131fa94946d93d3529136efd62413,49.273663,-123.127075
24,25318ec3e06fae1397a3a2f645104149,49.28972,-123.144028
25,444991edc9550be0908f032da5e3c95f,49.285253,-123.134356
26,434b6f4e7fc30198f901b60fc905f609,49.283343,-123.131099
27,f97d5bf41f35aa181288429fb52e3488,49.284605,-123.108662
28,9d3123425823420514b8ad410074f02d,49.278004,-123.105664
29,f1ca711137cde59e824167a4274df888,49.279342,-123.101822
30,4f6ebf2026d540ffe40e29a80138ad5e,49.273833,-123.114373
31,be14efdc86dedd6a8cd338e78ab4e7c7,49.28526,-123.141809
32,6ddeafa873279951630a00191333c45d,49.281506,-123.120101
33,c7b5bec0b2f4ab9a2d3f9d837725620c,49.276115,-123.114496
34,b9fd847d53fe45658fee4c46e7f562b8,49.272827,-123.147744
35,c2be5403b1c101e8032cf6696457200e,49.269361,-123.13782
36,71c064fa93cab5f0b7306e6c923b77c4,49.2653,-123.13811
